Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy
197,Welcome to the World (feat. Kanye West & Kid Cudi),T.I.,30,0.012,0.748,0.199,-3.532,0.0565,0.345,0.849
198,How Life Changed (feat. Mitchelle'l & Scarface),T.I.,30,0.103,0.666,0.0703,-2.081,0.295,0.566,0.879
199,Get Back Up (feat. Chris Brown),T.I.,30,0.6,0.556,0.0937,-6.264,0.35,0.648,0.699
200,Trust,Christina Perri,32,0.877,0.675,0.124,-10.719,0.0395,0.0367,0.138
201,Burning Gold,Christina Perri,32,0.0175,0.565,0.11,-5.851,0.0269,0.213,0.673
202,Bluebird,Christina Perri,32,0.433,0.423,0.0701,-7.587,0.0454,0.266,0.46
203,Arms,Christina Perri,32,0.11,0.463,0.103,-7.244,0.0634,0.252,0.755
204,Bang Bang Bang,Christina Perri,32,0.00324,0.445,0.262,-5.578,0.0629,0.589,0.797
205,Bluebird,Christina Perri,32,0.433,0.423,0.0701,-7.587,0.0454,0.266,0.46
206,Arms,Christina Perri,32,0.11,0.463,0.103,-7.244,0.0634,0.252,0.755
207,Bang Bang Bang,Christina Perri,32,0.00324,0.445,0.262,-5.578,0.0629,0.589,0.797
208,Hello,Adele,33,0.329,0.47,0.0854,-6.129,0.0342,0.289,0.431
209,Send My Love (To Your New Lover),Adele,33,0.0356,0.688,0.172,-8.361,0.0875,0.565,0.532
210,I Miss You,Adele,33,0.01,0.382,0.433,-4.254,0.047,0.156,0.577
211,Ride,Adele,33,0.727,0.525,0.271,-5.335,0.0354,0.734,0.625
212,One and Only,Adele,33,0.295,0.528,0.165,-5.306,0.0287,0.184,0.467
213,Rumour Has It,Adele,33,0.617,0.612,0.167,-5.014,0.0445,0.574,0.748
214,Mr. Worldwide (Intro) [feat. Vein],Pitbull,34,0.0567,0.779,0.332,-3.268,0.0866,0.762,0.912
215,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,34,0.192,0.671,0.298,-3.206,0.161,0.529,0.939
216,Rain Over Me (feat. Marc Anthony),Pitbull,34,0.00416,0.61,0.758,-2.117,0.0647,0.294,0.906
217,Ah Leke (feat. Sean Paul),Pitbull,34,0.0437,0.811,0.185,-3.966,0.169,0.932,0.889
218,Fun (feat. Chris Brown),Pitbull,34,0.156,0.793,0.193,-3.667,0.0478,0.547,0.774
219,Fireball (feat. John Ryan),Pitbull,34,0.0908,0.761,0.0606,-5.38,0.056,0.836,0.933
220,Global Warming (feat. Sensato),Pitbull,34,0.152,0.833,0.111,-7.072,0.272,0.809,0.675
