Sno,Song,Artist,ArtistID,Cluster
221,Feel This Moment (feat. Christina Aguilera),Pitbull,34,1
222,Pretty Hurts,Beyonc,35,3
223,Haunted,Beyonc,35,0
224,Drunk in Love (feat. Jay Z),Beyonc,35,3
225,07-Nov,Beyonc,35,1
226,Flawless Remix (feat. Nicki Minaj),Beyonc,35,0
227,Drunk in Love Remix (feat. JAY Z & Kanye West),Beyonc,35,3
228,Love On Top,Beyonc,35,0
229,Party (feat. André 3000),Beyonc,35,1
230,Schoolin' Life,Beyonc,35,1
231,I Like It Like That (feat. New Boyz),Hot Chelle Rae,36,1
232,Tonight Tonight,Hot Chelle Rae,36,1
233,Honestly,Hot Chelle Rae,36,1
234,Say (Half Past Nine),Hot Chelle Rae,36,3
235,I Like to Dance,Hot Chelle Rae,36,3
236,Never Have I Ever,Hot Chelle Rae,36,3
237,I Hate LA,Hot Chelle Rae,36,1
238,Too Much,Hot Chelle Rae,36,1
239,Stay,Hot Chelle Rae,36,3
240,Head Above Water,Avril Lavigne,37,3
241,Birdie,Avril Lavigne,37,3
242,I Fell in Love with the Devil,Avril Lavigne,37,3
243,Take Me Away,Avril Lavigne,37,3
244,Together,Avril Lavigne,37,3
245,Dark Fantasy,Kanye West,38,3
246,Power,Kanye West,38,0
247,On Sight,Kanye West,38,2
248,Black Skinhead,Kanye West,38,1
249,Intro,Kanye West,38,0
250,We Don't Care,Kanye West,38,3
251,Graduation Day,Kanye West,38,2
252,Rock the Beat II,LMFAO,39,3
253,Sorry for Party Rocking,LMFAO,39,0
254,Rock the Beat II,LMFAO,39,3
255,Sorry for Party Rocking,LMFAO,39,0
256,Sweet Talker,Jessie J,40,2
257,Price Tag (feat. B.o.B),Jessie J,40,0
258,Nobody's Perfect,Jessie J,40,0
259,Abracadabra,Jessie J,40,1
260,Good Hit,Jennifer Lopez,41,1
261,First Love,Jennifer Lopez,41,3
262,Never Satisfied,Jennifer Lopez,41,3
263,Qué Hiciste,Jennifer Lopez,41,2
264,Me Haces Falta,Jennifer Lopez,41,1
265,Como Ama una Mujer,Jennifer Lopez,41,2
266,Back to Sleep,Chris Brown,42,0
267,Fine By Me,Chris Brown,42,1
268,Wrist (feat. Solo Lucci),Chris Brown,42,2
269,Westside,Chris Brown,42,1
270,Nothin' Like Me (feat. Ty Dolla $ign),Chris Brown,42,1
271,Ayo,Chris Brown,42,1
272,Lost & Found,Chris Brown,42,2
273,Privacy,Chris Brown,42,1
274,Juicy Booty (feat. Jhené Aiko & R. Kelly),Chris Brown,42,1
275,Overture,Sleeping At Last,43,2
276,Woodwork,Sleeping At Last,43,2
277,The Safety Dance,Sleeping At Last,43,2
278,Total Eclipse of the Heart,Sleeping At Last,43,2
279,Porcelain,Sleeping At Last,43,2
280,Chandeliers,Sleeping At Last,43,2
281,Naive,Sleeping At Last,43,2
282,All Things Go,Nicki Minaj,44,1
283,I Lied,Nicki Minaj,44,2
284,I'm the Best,Nicki Minaj,44,0
285,Did It On'em,Nicki Minaj,44,3
286,Roman Holiday,Nicki Minaj,44,1
287,Come On a Cone,Nicki Minaj,44,1
288,Are We All We Are,P!nk,45,0
289,Blow Me (One Last Kiss),P!nk,45,3
290,Try,P!nk,45,1
291,Get the Party Started,P!nk,45,1
292,There You Go,P!nk,45,1
293,So What,P!nk,45,3
294,Sober,P!nk,45,3
295,I Don't Believe You,P!nk,45,2
296,Mylo Xyloto,Coldplay,46,2
297,Hurts Like Heaven,Coldplay,46,3
298,Paradise,Coldplay,46,3
299,Always In My Head,Coldplay,46,3
300,Magic,Coldplay,46,1
301,Ink,Coldplay,46,1
302,Best Song Ever,One Direction,47,1
303,Story of My Life,One Direction,47,1
304,Diana,One Direction,47,3
305,Steal My Girl,One Direction,47,3
306,Ready to Run,One Direction,47,3
307,Where Do Broken Hearts Go,One Direction,47,3
308,Welcome To New York,Taylor Swift,48,1
309,Blank Space,Taylor Swift,48,1
310,Style,Taylor Swift,48,3
311,Mine,Taylor Swift,48,3
312,Sparks Fly,Taylor Swift,48,3
313,Back to December,Taylor Swift,48,3
314,Tiny Little Bows,Carly Rae Jepsen,49,1
315,This Kiss,Carly Rae Jepsen,49,1
316,Call Me Maybe,Carly Rae Jepsen,49,1
317,First Time,Carly Rae Jepsen,49,1
318,Higher,Carly Rae Jepsen,49,3
319,The One,Carly Rae Jepsen,49,1
320,Mr. Know It All,Kelly Clarkson,50,1
321,Stronger (What Doesn't Kill You),Kelly Clarkson,50,3
322,Dark Side,Kelly Clarkson,50,3
323,Breakaway,Kelly Clarkson,50,3
324,Since U Been Gone,Kelly Clarkson,50,1
325,Behind These Hazel Eyes,Kelly Clarkson,50,3
326,Wrapped in Red,Kelly Clarkson,50,2
327,Underneath the Tree,Kelly Clarkson,50,3
328,Have Yourself a Merry Little Christmas,Kelly Clarkson,50,2
329,Cave In,Owl City,51,1
330,The Bird and the Worm,Owl City,51,3
331,Hello Seattle,Owl City,51,3
332,The Real World,Owl City,51,3
333,Deer In the Headlights,Owl City,51,3
334,Angels,Owl City,51,1
335,Dreams and Disasters,Owl City,51,3
336,Shooting Star,Owl City,51,3
337,Gold,Owl City,51,3
338,Glad You Came,The Wanted,52,1
339,Chasing the Sun,The Wanted,52,0
340,All Time Low,The Wanted,52,1
341,We Own the Night,The Wanted,52,3
342,In the Middle,The Wanted,52,1
343,Running Out of Reasons,The Wanted,52,1
344,Glad You Came,The Wanted,52,1
345,Glad You Came,The Wanted,52,1
346,Glad You Came,The Wanted,52,1
347,Some Nights (Intro),fun.,53,2
348,Some Nights,fun.,53,1
349,We Are Young (feat. Janelle Monáe),fun.,53,3
350,Be Calm,fun.,53,3
351,Benson Hedges,fun.,53,0
352,All the Pretty Girls,fun.,53,1
353,Be Calm,fun.,53,3
354,Benson Hedges,fun.,53,0
355,All the Pretty Girls,fun.,53,1
356,My Blood,Ellie Goulding,54,2
357,Anything Could Happen,Ellie Goulding,54,2
358,Za Intro,Gym Class Heroes,55,2
359,Martyrial Girl$,Gym Class Heroes,55,3
360,Life Goes On (feat. Oh Land),Gym Class Heroes,55,3
361,The Queen and I,Gym Class Heroes,55,1
362,Shoot Down the Stars,Gym Class Heroes,55,1
363,New Friend Request,Gym Class Heroes,55,1
364,The Queen and I,Gym Class Heroes,55,1
365,Shoot Down the Stars,Gym Class Heroes,55,1
366,New Friend Request,Gym Class Heroes,55,1
367,Wake Me Up,Avicii,56,3
368,You Make Me,Avicii,56,3
369,Hey Brother,Avicii,56,3
370,Levels,Avicii,56,3
371,Levels,Avicii,56,3
372,Levels,Avicii,56,3
373,We Cry,The Script,57,3
374,Before the Worst,The Script,57,0
375,Talk You Down,The Script,57,3
376,No Good in Goodbye,The Script,57,3
377,Superheroes,The Script,57,3
378,Man on a Wire,The Script,57,3
379,Breakout,Miley Cyrus,58,3
380,7 Things,Miley Cyrus,58,3
381,The Driveway,Miley Cyrus,58,3
382,Liberty Walk,Miley Cyrus,58,3
383,Who Owns My Heart,Miley Cyrus,58,3
384,Younger Now,Miley Cyrus,58,3
385,Malibu,Miley Cyrus,58,3
