Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy,Cluster
86,Intro,Sean Kingston,15,0.303,0.617,0.561,0.7575094912680336,0.16899999999999998,0.43,0.605,0
87,Kingston,Sean Kingston,15,0.0279,0.589,0.32299999999999995,0.8650265755504938,0.252,0.7979999999999999,0.938,3
88,Take You There,Sean Kingston,15,0.0182,0.752,0.256,0.8844646924829159,0.0696,0.634,0.9209999999999999,1
89,Intro,Sean Kingston,15,0.303,0.617,0.561,0.7575094912680336,0.16899999999999998,0.43,0.605,0
90,Kingston,Sean Kingston,15,0.0279,0.589,0.32299999999999995,0.8650265755504938,0.252,0.7979999999999999,0.938,3
91,Take You There,Sean Kingston,15,0.0182,0.752,0.256,0.8844646924829159,0.0696,0.634,0.9209999999999999,1
92,Back 2 Life (Live It Up) [feat. T.I.],Sean Kingston,15,0.0441,0.6409999999999999,0.138,0.8784510250569478,0.0474,0.09300000000000001,0.8370000000000001,1
93,Beat It (feat. Chris Brown & Wiz Khalifa),Sean Kingston,15,0.00487,0.47700000000000004,0.284,0.8521184510250571,0.109,0.555,0.637,3
94,Hold That (feat. Yo Gotti),Sean Kingston,15,0.41,0.77,0.131,0.8891723614274869,0.0309,0.76,0.6940000000000001,1
95,Boom Boom Pow,The Black Eyed Peas,16,0.00296,0.8959999999999999,0.151,0.7643735763097952,0.226,0.594,0.71,1
96,Rock That Body,The Black Eyed Peas,16,0.00147,0.667,0.34600000000000003,0.6992862566438878,0.0432,0.606,0.569,1
97,Meet Me Halfway,The Black Eyed Peas,16,0.0113,0.774,0.11,0.8077145026575552,0.0633,0.42,0.574,1
98,Pump It,The Black Eyed Peas,16,0.000628,0.736,0.325,0.9124069855732728,0.145,0.755,0.8240000000000001,1
99,The Time (Dirty Bit),The Black Eyed Peas,16,0.0339,0.799,0.0892,0.6317388003037208,0.0523,0.679,0.6759999999999999,1
100,Music Again,Adam Lambert,17,0.00125,0.632,0.312,0.9101290812452545,0.0457,0.8390000000000001,0.875,3
101,For Your Entertainment,Adam Lambert,17,0.0463,0.657,0.0823,0.8979802581624907,0.10400000000000001,0.629,0.87,1
102,Whataya Want from Me,Adam Lambert,17,0.0070599999999999994,0.44,0.0593,0.871981776765376,0.0489,0.445,0.6829999999999999,3
103,Trespassing,Adam Lambert,17,0.000397,0.8740000000000001,0.128,0.855854214123007,0.0467,0.826,0.612,1
104,Cuckoo,Adam Lambert,17,0.0009570000000000001,0.6729999999999999,0.155,0.8545785876993168,0.0453,0.8170000000000001,0.7240000000000001,1
105,Music Again,Adam Lambert,17,0.00125,0.632,0.312,0.9101290812452545,0.0457,0.8390000000000001,0.875,3
106,For Your Entertainment,Adam Lambert,17,0.0463,0.657,0.0823,0.8979802581624907,0.10400000000000001,0.629,0.87,1
107,Whataya Want from Me,Adam Lambert,17,0.0070599999999999994,0.44,0.0593,0.871981776765376,0.0489,0.445,0.6829999999999999,3
108,If I Never See Your Face Again,Maroon 5,18,0.017,0.745,0.281,0.9414123006833715,0.0374,0.9359999999999999,0.867,1
109,Makes Me Wonder,Maroon 5,18,0.00485,0.8029999999999999,0.0577,0.941928625664389,0.0357,0.8809999999999999,0.851,1
110,Little of Your Time,Maroon 5,18,0.0658,0.6859999999999999,0.10400000000000001,0.9388003037205772,0.0801,0.965,0.963,1
111,Harder To Breathe,Maroon 5,18,0.0676,0.662,0.045,0.8753227031131361,0.0542,0.966,0.899,1
112,This Love,Maroon 5,18,0.0525,0.7120000000000001,0.09300000000000001,0.8756264236902052,0.0378,0.809,0.862,1
113,Shiver,Maroon 5,18,0.0421,0.625,0.865,0.8810022779043283,0.342,0.515,0.925,0
114,One More Night,Maroon 5,18,0.0558,0.716,0.0844,0.9113743356112378,0.0314,0.618,0.821,1
115,Daylight,Maroon 5,18,0.00242,0.6559999999999999,0.255,0.849476082004556,0.0269,0.369,0.674,1
